step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
19	[0.04, -0.01, -0.32, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.12, 0.84]	[0.04, -0.12, 0.82]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.02]	[-0.07, 0.18, -0.02]	[-0.07, 0.18, 0.01]
20	[0.04, 0.0, -0.23, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.12, 0.84]	[0.04, -0.12, 0.82]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.02]	[-0.07, 0.18, -0.01]	[-0.07, 0.18, 0.01]
21	[0.04, 0.01, -0.17, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.12, 0.83]	[0.04, -0.12, 0.82]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.01]	[-0.07, 0.18, 0.01]
22	[0.04, 0.02, -0.12, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.12, 0.83]	[0.04, -0.12, 0.82]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.0]	[-0.07, 0.18, 0.01]
23	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.83]	[0.04, -0.12, 0.82]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.0]	[-0.07, 0.18, 0.01]
24	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.83]	[0.04, -0.12, 0.82]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.0]	[-0.07, 0.18, 0.01]
25	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.83]	[0.04, -0.12, 0.82]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.01]	[-0.07, 0.19, 0.0]
26	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.84]	[0.04, -0.12, 0.83]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.01]	[-0.07, 0.19, -0.0]
27	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.84]	[0.03, -0.12, 0.83]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.02]	[-0.07, 0.19, -0.01]
28	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.85]	[0.03, -0.12, 0.84]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.02]	[-0.07, 0.19, -0.01]
29	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.85]	[0.03, -0.12, 0.84]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.03]	[-0.07, 0.19, -0.02]
30	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.86]	[0.03, -0.12, 0.85]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.04]	[-0.07, 0.19, -0.02]
31	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.87]	[0.03, -0.12, 0.85]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.04]	[-0.07, 0.19, -0.03]
32	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.87]	[0.03, -0.12, 0.86]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.05]	[-0.07, 0.19, -0.03]
33	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.88]	[0.03, -0.12, 0.87]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.05]	[-0.07, 0.19, -0.04]
34	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.88]	[0.03, -0.12, 0.87]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.06]	[-0.07, 0.19, -0.05]
35	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.89]	[0.03, -0.12, 0.88]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.06]	[-0.07, 0.19, -0.05]
36	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.89]	[0.03, -0.12, 0.88]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.07]	[-0.07, 0.19, -0.06]
37	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.9]	[0.03, -0.12, 0.89]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.07]	[-0.07, 0.19, -0.06]
38	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.03, -0.12, 0.9]	[0.03, -0.12, 0.89]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.07, 0.19, -0.08]	[-0.07, 0.19, -0.07]
39	[-0.7, 1.87, 2.5, 0.0, 0.0, 0.0, 1.0]	[0.02, -0.11, 0.92]	[0.02, -0.11, 0.91]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.06, 0.17, -0.1]	[-0.06, 0.17, -0.08]
40	[-0.59, 1.74, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.0, -0.09, 0.93]	[0.01, -0.09, 0.92]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.04, 0.16, -0.1]	[-0.05, 0.16, -0.09]
41	[-0.46, 1.56, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.01, -0.07, 0.93]	[-0.0, -0.07, 0.92]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.03, 0.14, -0.1]	[-0.04, 0.14, -0.09]
42	[-0.35, 1.36, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.02, -0.05, 0.93]	[-0.01, -0.05, 0.92]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.02, 0.12, -0.1]	[-0.03, 0.12, -0.09]
43	[-0.25, 1.16, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.03, -0.03, 0.93]	[-0.02, -0.03, 0.92]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.01, 0.1, -0.1]	[-0.02, 0.09, -0.09]
44	[-0.17, 0.95, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.03, -0.01, 0.93]	[-0.03, -0.01, 0.91]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.01, 0.07, -0.1]	[-0.01, 0.07, -0.09]
45	[-0.1, 0.74, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.04, 0.01, 0.92]	[-0.03, 0.01, 0.91]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[-0.0, 0.06, -0.1]	[-0.0, 0.06, -0.09]
46	[-0.05, 0.57, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.04, 0.02, 0.92]	[-0.04, 0.02, 0.91]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[0.0, 0.04, -0.1]	[-0.0, 0.04, -0.09]
47	[-0.02, 0.42, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.04, 0.03, 0.92]	[-0.04, 0.03, 0.91]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[0.0, 0.03, -0.1]	[0.0, 0.03, -0.09]
48	[0.0, 0.29, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.04, 0.04, 0.92]	[-0.04, 0.04, 0.91]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[0.01, 0.02, -0.1]	[0.0, 0.02, -0.09]
49	[0.02, 0.18, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.04, 0.05, 0.92]	[-0.04, 0.05, 0.91]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[0.01, 0.01, -0.1]	[0.0, 0.01, -0.09]
50	[0.03, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.05, 0.06, 0.92]	[-0.04, 0.06, 0.91]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[0.01, 0.0, -0.1]	[0.0, 0.0, -0.08]
51	[0.03, 0.04, -0.34, 0.0, 0.0, 0.0, 1.0]	[-0.05, 0.06, 0.91]	[-0.04, 0.06, 0.9]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[0.01, -0.0, -0.09]	[0.0, -0.0, -0.08]
52	[0.03, -0.0, -0.28, 0.0, 0.0, 0.0, 1.0]	[-0.04, 0.07, 0.91]	[-0.04, 0.07, 0.9]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[0.01, -0.0, -0.08]	[0.0, -0.0, -0.07]
53	[0.03, -0.02, -0.21, 0.0, 0.0, 0.0, 1.0]	[-0.04, 0.07, 0.9]	[-0.04, 0.07, 0.89]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[0.01, -0.0, -0.08]	[0.0, -0.0, -0.07]
54	[0.02, -0.03, -0.16, 0.0, 0.0, 0.0, 1.0]	[-0.04, 0.07, 0.9]	[-0.04, 0.07, 0.89]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[0.01, -0.0, -0.07]	[0.0, -0.0, -0.06]
55	[0.02, -0.03, -0.11, 0.0, 0.0, 0.0, 1.0]	[-0.04, 0.07, 0.89]	[-0.04, 0.07, 0.88]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[0.01, -0.0, -0.07]	[0.0, -0.0, -0.06]
56	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.07, 0.89]	[-0.04, 0.07, 0.88]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[0.01, -0.0, -0.07]	[0.0, -0.0, -0.06]
57	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.89]	[-0.04, 0.07, 0.88]	[-0.04, 0.06, 0.82]	[0.0, 0.0, -0.01]	[0.01, -0.0, -0.07]	[0.0, -0.0, -0.06]
58	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.89]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.0, -0.0, -0.03]	[0.01, -0.0, -0.07]	[0.0, -0.0, -0.04]
59	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.89]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.0, -0.0, -0.02]	[0.01, -0.0, -0.07]	[0.0, -0.0, -0.04]
60	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.91]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.04]	[0.01, -0.0, -0.08]	[0.0, -0.0, -0.04]
61	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.93]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.06]	[0.01, -0.0, -0.1]	[0.0, -0.0, -0.04]
62	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.95]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.08]	[0.02, -0.0, -0.13]	[0.0, -0.0, -0.04]
63	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.07, 0.97]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.02, -0.0, -0.1]	[0.02, -0.0, -0.15]	[0.0, -0.0, -0.04]
64	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.02, -0.0, -0.15]	[0.0, -0.0, -0.04]
65	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.02, -0.0, -0.15]	[0.0, -0.0, -0.04]
66	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.02, -0.0, -0.16]	[0.0, -0.0, -0.04]
67	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, -0.0, -0.04]
68	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, -0.0, -0.04]
69	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, -0.0, -0.04]
70	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, -0.0, -0.04]
71	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, -0.0, -0.04]
72	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, -0.0, -0.04]
73	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, -0.0, -0.04]
74	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, -0.0, -0.04]
75	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, -0.0, -0.04]
76	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, -0.0, -0.04]
77	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, -0.0, -0.04]
78	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, -0.0, -0.04]
79	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.07, 0.98]	[-0.04, 0.07, 0.87]	[-0.04, 0.06, 0.82]	[0.01, 0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, -0.0, -0.04]
